id,estado,monto,descripcion
1,ok,857.36,operación exitosa
2,error_conexion,47.38,operación exitosa
3,error_timeout,323.13,reintentar
4,error_timeout,488.53,operación exitosa
5,error_conexion,668.69,reintentar
6,error_conexion,146.66,operación exitosa
7,ok,249.58,operación exitosa
8,error_timeout,483.06,fallo en operación
9,error_timeout,789.01,completado
10,error_timeout,973.12,reintentar
11,error_timeout,548.66,operación exitosa
12,error_conexion,447.08,operación exitosa
13,ok,503.51,operación exitosa
14,ok,982.56,fallo en operación
15,ok,716.16,completado
16,ok,619.23,completado
17,error_timeout,386.83,completado
18,error_timeout,309.36,completado
19,error_conexion,587.2,completado
20,error_conexion,434.05,fallo en operación
21,ok,247.5,operación exitosa
22,error_conexion,909.59,fallo en operación
23,error_timeout,901.77,reintentar
24,ok,737.02,fallo en operación
25,error_conexion,787.84,fallo en operación
26,ok,857.33,reintentar
27,ok,903.13,fallo en operación
28,error_conexion,644.76,fallo en operación
29,ok,961.81,operación exitosa
30,ok,660.69,fallo en operación
31,ok,102.12,completado
32,ok,836.37,fallo en operación
33,ok,792.33,operación exitosa
34,ok,55.43,fallo en operación
35,error_conexion,482.66,reintentar
36,ok,230.1,operación exitosa
37,ok,256.31,reintentar
38,ok,561.41,operación exitosa
39,ok,745.94,fallo en operación
40,error_timeout,304.84,reintentar
41,ok,472.83,fallo en operación
42,ok,351.37,completado
43,ok,439.67,reintentar
44,error_timeout,181.34,reintentar
45,error_timeout,372.11,reintentar
46,ok,401.75,operación exitosa
47,ok,998.51,fallo en operación
48,error_conexion,968.32,operación exitosa
49,error_conexion,238.0,fallo en operación
50,ok,913.24,reintentar
51,ok,749.98,reintentar
52,ok,179.81,fallo en operación
53,ok,55.57,operación exitosa
54,error_conexion,635.78,fallo en operación
55,error_timeout,171.07,reintentar
56,error_timeout,131.39,completado
57,ok,826.73,completado
58,ok,434.07,completado
59,ok,608.44,completado
60,ok,451.02,operación exitosa
61,error_conexion,61.45,reintentar
62,ok,564.88,fallo en operación
63,ok,429.91,operación exitosa
64,ok,940.74,reintentar
65,error_conexion,843.48,fallo en operación
66,error_conexion,772.59,reintentar
67,error_timeout,711.23,fallo en operación
68,ok,469.44,completado
69,error_conexion,112.64,operación exitosa
70,ok,552.27,reintentar
71,ok,798.78,operación exitosa
72,ok,755.16,fallo en operación
73,ok,295.36,reintentar
74,error_timeout,338.17,operación exitosa
75,ok,493.71,reintentar
76,error_timeout,121.71,fallo en operación
77,ok,838.99,operación exitosa
78,ok,919.96,reintentar
79,ok,886.54,completado
80,ok,477.53,operación exitosa
81,ok,356.43,fallo en operación
82,error_timeout,405.33,reintentar
83,error_timeout,894.85,reintentar
84,error_conexion,422.01,fallo en operación
85,error_conexion,164.62,fallo en operación
86,ok,139.63,reintentar
87,error_conexion,340.84,completado
88,ok,595.01,completado
89,ok,404.09,operación exitosa
90,ok,426.16,operación exitosa
91,error_timeout,463.12,operación exitosa
92,error_timeout,727.01,operación exitosa
93,error_conexion,317.56,reintentar
94,ok,344.05,reintentar
95,ok,12.62,completado
96,error_timeout,780.46,reintentar
97,error_conexion,894.42,fallo en operación
98,ok,451.58,completado
99,ok,136.76,reintentar
100,error_conexion,316.82,reintentar
