id,estado,monto,descripcion
1,error_conexion,663.21,fallo en operación
2,ok,23.94,reintentar
3,error_timeout,672.39,operación exitosa
4,ok,646.15,reintentar
5,ok,760.97,completado
6,error_timeout,893.28,fallo en operación
7,error_timeout,161.83,completado
8,ok,716.09,completado
9,error_timeout,121.5,fallo en operación
10,ok,307.21,fallo en operación
11,ok,338.44,completado
12,error_timeout,61.42,operación exitosa
13,ok,831.24,operación exitosa
14,error_timeout,147.9,fallo en operación
15,ok,298.14,operación exitosa
16,ok,857.64,fallo en operación
17,error_conexion,325.78,completado
18,ok,264.13,reintentar
19,error_timeout,243.37,fallo en operación
20,ok,896.94,completado
21,ok,862.29,fallo en operación
22,ok,239.99,fallo en operación
23,ok,776.53,operación exitosa
24,error_timeout,275.95,fallo en operación
25,ok,763.19,operación exitosa
26,ok,21.89,reintentar
27,ok,102.49,fallo en operación
28,error_timeout,203.82,operación exitosa
29,ok,486.34,operación exitosa
30,error_conexion,261.33,operación exitosa
31,error_conexion,173.61,fallo en operación
32,ok,359.49,reintentar
33,ok,465.42,fallo en operación
34,error_conexion,151.98,completado
35,ok,111.78,reintentar
36,error_conexion,756.84,fallo en operación
37,ok,943.37,operación exitosa
38,ok,355.56,reintentar
39,ok,361.03,reintentar
40,error_conexion,509.08,fallo en operación
41,ok,141.36,reintentar
42,error_timeout,450.79,reintentar
43,ok,496.47,fallo en operación
44,ok,368.31,operación exitosa
45,error_timeout,471.79,reintentar
46,ok,849.07,operación exitosa
47,error_conexion,537.64,operación exitosa
48,error_conexion,217.73,operación exitosa
49,ok,223.04,fallo en operación
50,ok,920.04,fallo en operación
51,ok,115.59,operación exitosa
52,error_timeout,988.07,fallo en operación
53,error_conexion,605.44,operación exitosa
54,ok,665.08,fallo en operación
55,error_timeout,709.86,operación exitosa
56,error_timeout,993.2,reintentar
57,error_conexion,794.68,reintentar
58,ok,389.32,fallo en operación
59,ok,60.43,reintentar
60,ok,638.21,fallo en operación
61,ok,84.06,reintentar
62,error_conexion,569.79,reintentar
63,error_timeout,865.2,reintentar
64,ok,786.93,completado
65,ok,806.43,operación exitosa
66,ok,49.31,operación exitosa
67,ok,919.26,fallo en operación
68,error_conexion,56.74,operación exitosa
69,ok,92.15,reintentar
70,ok,609.26,fallo en operación
71,ok,442.96,operación exitosa
72,error_timeout,409.12,operación exitosa
73,ok,530.57,reintentar
74,ok,842.38,fallo en operación
75,ok,13.85,completado
76,error_timeout,688.59,fallo en operación
77,ok,544.8,operación exitosa
78,error_conexion,599.19,operación exitosa
79,ok,277.14,reintentar
80,ok,918.86,operación exitosa
81,error_conexion,830.88,fallo en operación
82,ok,160.26,completado
83,ok,118.32,completado
84,error_conexion,695.49,operación exitosa
85,error_conexion,912.44,reintentar
86,ok,37.43,reintentar
87,ok,684.51,reintentar
88,error_timeout,717.29,completado
89,error_conexion,844.66,completado
90,ok,556.86,reintentar
91,ok,655.78,reintentar
92,ok,117.84,completado
93,error_timeout,283.04,completado
94,ok,584.11,completado
95,ok,651.6,completado
96,error_timeout,493.15,reintentar
97,error_timeout,369.16,reintentar
98,error_timeout,744.99,completado
99,ok,887.17,completado
100,error_timeout,549.86,reintentar
