id,estado,monto,descripcion
1,ok,245.94,operación exitosa
2,ok,344.74,completado
3,ok,685.41,completado
4,error_conexion,695.28,reintentar
5,error_timeout,763.98,reintentar
6,error_conexion,867.14,operación exitosa
7,ok,832.0,completado
8,ok,591.5,operación exitosa
9,error_conexion,102.27,completado
10,error_timeout,657.84,completado
11,error_conexion,941.38,fallo en operación
12,ok,117.85,completado
13,error_conexion,727.32,operación exitosa
14,ok,799.43,fallo en operación
15,ok,534.55,reintentar
16,error_conexion,979.09,operación exitosa
17,ok,98.26,fallo en operación
18,ok,781.66,reintentar
19,error_conexion,548.38,operación exitosa
20,error_timeout,174.45,reintentar
21,error_timeout,783.5,completado
22,error_timeout,584.16,operación exitosa
23,error_conexion,587.8,fallo en operación
24,error_conexion,915.14,operación exitosa
25,error_conexion,984.39,fallo en operación
26,error_timeout,798.29,completado
27,ok,891.2,completado
28,ok,993.4,fallo en operación
29,ok,573.08,operación exitosa
30,error_conexion,186.35,operación exitosa
31,ok,751.16,fallo en operación
32,ok,800.46,fallo en operación
33,ok,987.56,fallo en operación
34,error_timeout,246.64,operación exitosa
35,error_timeout,424.04,operación exitosa
36,error_timeout,581.59,reintentar
37,ok,193.19,operación exitosa
38,ok,653.73,reintentar
39,error_conexion,554.9,completado
40,ok,798.59,operación exitosa
41,ok,293.0,operación exitosa
42,error_timeout,571.42,completado
43,ok,284.86,operación exitosa
44,ok,892.66,operación exitosa
45,error_timeout,606.25,fallo en operación
46,ok,73.88,fallo en operación
47,error_timeout,454.43,fallo en operación
48,ok,626.84,operación exitosa
49,ok,957.9,completado
50,error_timeout,941.03,reintentar
51,ok,458.6,operación exitosa
52,error_timeout,317.86,completado
53,ok,753.88,operación exitosa
54,error_timeout,446.49,completado
55,ok,522.89,completado
56,error_timeout,117.72,completado
57,ok,344.35,operación exitosa
58,error_timeout,665.59,completado
59,ok,418.33,fallo en operación
60,error_timeout,674.11,fallo en operación
61,error_timeout,312.88,fallo en operación
62,ok,836.51,completado
63,error_conexion,201.92,reintentar
64,error_conexion,144.57,fallo en operación
65,error_timeout,552.33,reintentar
66,ok,685.53,operación exitosa
67,ok,72.82,fallo en operación
68,ok,975.85,operación exitosa
69,error_conexion,768.74,reintentar
70,error_timeout,239.19,fallo en operación
71,ok,463.82,fallo en operación
72,ok,584.23,completado
73,error_timeout,252.14,operación exitosa
74,error_conexion,746.68,reintentar
75,error_conexion,830.06,operación exitosa
76,error_conexion,44.1,reintentar
77,ok,458.65,completado
78,ok,11.51,reintentar
79,ok,554.64,fallo en operación
80,ok,524.31,fallo en operación
81,error_timeout,829.77,reintentar
82,error_timeout,193.63,completado
83,ok,143.18,fallo en operación
84,error_timeout,264.68,operación exitosa
85,ok,878.38,operación exitosa
86,error_timeout,26.18,operación exitosa
87,error_conexion,804.4,completado
88,error_conexion,754.35,reintentar
89,error_conexion,326.43,fallo en operación
90,error_conexion,419.04,reintentar
91,ok,597.52,reintentar
92,ok,649.23,reintentar
93,error_conexion,905.57,operación exitosa
94,ok,96.54,operación exitosa
95,ok,411.1,reintentar
96,ok,614.88,completado
97,error_timeout,25.31,fallo en operación
98,ok,190.83,completado
99,ok,923.63,completado
100,ok,646.18,reintentar
